Timestamp,VX,VY,VZ,ADX,ADY,ADZ,TEMP,DX,DY,DZ,HZX,HZY,HZZ
24408,0,0,0,0,0,0,22.79,0,0,0,1,7,7
24573,0,0,0,0,0,0,22.79,0,0,0,0,8,5
24618,0,0,0,0,0,0,23.17,0,0,0,0,8,5
24738,0,0,0,0,0,0,22.79,0,0,0,0,8,5
24813,0,0,0,0,0,0,22.79,0,0,0,0,8,5
24933,0,0,0,0,0,0,22.91,0,0,0,0,8,5
25023,0,0,0,0,0,0,22.98,0,0,0,0,8,5
25143,0,0,0,0,0,0,22.91,0,0,0,0,8,5
25219,0,0,0,0,0,0,22.85,0,0,0,0,8,5
25338,0,0,0,0,0,0,22.79,0,0,0,0,8,5
25428,0,0,0,0,0,0,22.91,0,0,0,0,8,5
25548,0,0,0,0,0,0,22.72,0,0,0,0,1,1
25623,0,0,0,0,0,0,22.85,0,0,0,0,1,1
25743,0,0,0,0,0,0,22.91,0,0,0,0,1,1
25833,0,0,0,0,0,0,22.66,0,0,0,0,1,1
25953,0,0,0,0,0,0,23.10,0,0,0,0,1,1
26028,0,0,0,0,0,0,22.79,0,0,0,0,1,1
26148,0,0,0,0,0,0,22.79,0,0,0,0,1,1
26223,0,0,0,0,0,0,23.10,0,0,0,0,1,1
26343,0,0,0,0,0,0,22.85,0,0,0,0,1,1
26448,0,0,0,0,0,0,22.85,0,0,0,0,1,1
26553,0,0,0,0,0,0,22.79,0,0,0,0,0,0
26628,0,0,0,0,0,0,22.85,0,0,0,0,0,0
26748,0,0,0,0,0,0,22.60,0,0,0,0,0,0
26838,0,0,0,0,0,0,22.91,0,0,0,0,0,0
26959,0,0,0,0,0,0,22.85,0,0,0,0,0,0
27033,0,0,0,0,0,0,22.79,0,0,0,0,0,0
27153,0,0,0,0,0,0,22.72,0,0,0,0,0,0
27243,0,0,0,0,0,0,22.85,0,0,0,0,0,0
27348,0,0,0,0,0,0,22.91,0,0,0,0,0,0
27454,0,0,0,0,0,0,22.79,0,0,0,0,0,0
27573,0,0,0,0,0,0,22.79,0,0,0,0,0,0
27648,0,0,0,0,0,0,22.85,0,0,0,0,0,0
27753,0,0,0,0,0,0,22.91,0,0,0,0,0,0
27858,0,0,0,0,0,0,22.72,0,0,0,0,0,0
27963,0,0,0,0,0,0,22.72,0,0,0,0,0,0
28053,0,0,0,0,0,0,22.66,0,0,0,0,0,0
28158,0,0,0,0,0,0,22.79,0,0,0,0,0,0
28263,0,0,0,0,0,0,22.79,0,0,0,0,0,0
28368,0,0,0,0,0,0,22.91,0,0,0,0,0,0
28473,0,0,0,0,0,0,22.79,0,0,0,0,0,0
28578,0,0,0,0,0,0,22.98,0,0,0,0,0,0
28669,0,0,0,0,0,0,22.79,0,0,0,0,0,0
28773,0,0,0,0,0,0,22.91,0,0,0,0,0,0
28878,0,0,0,0,0,0,22.91,0,0,0,0,0,0
28983,0,0,0,0,0,0,22.79,0,0,0,0,0,0
29043,0,0,0,0,0,0,22.79,0,0,0,0,0,0
29193,0,0,0,0,0,0,22.98,0,0,0,0,0,0
29283,0,0,0,0,0,0,22.79,0,0,0,0,0,0
29388,0,0,0,0,0,0,22.85,0,0,0,0,0,0
29448,0,0,0,0,0,0,22.60,0,0,0,0,0,0
29598,0,0,0,0,0,0,22.85,0,0,0,0,0,0
29658,0,0,0,0,0,0,22.85,0,0,0,0,0,0
29810,0,0,0,0,0,0,22.85,0,0,0,0,0,0
29853,0,0,0,0,0,0,22.98,0,0,0,0,0,0
30003,0,0,0,0,0,0,22.91,0,0,0,0,0,0
30048,0,0,0,0,0,0,22.98,0,0,0,0,0,0
30168,0,0,0,0,0,0,22.72,0,0,0,0,0,0
30258,0,0,0,0,0,0,22.72,0,0,0,0,0,0
30409,0,0,0,0,0,0,22.91,0,0,0,0,0,0
30453,0,0,0,0,0,0,22.79,0,0,0,0,0,0
30573,0,0,0,0,0,0,22.85,0,0,0,0,0,0
30663,0,0,0,0,0,0,22.79,0,0,0,0,0,0
30783,0,0,0,0,0,0,22.79,0,0,0,0,0,0
30858,0,0,0,0,0,0,22.79,0,0,0,0,0,0
30978,0,0,0,0,0,0,22.85,0,0,0,0,0,0
31068,0,0,0,0,0,0,22.85,0,0,0,0,0,0
31188,0,0,0,0,0,0,22.91,0,0,0,0,0,0
31263,0,0,0,0,0,0,22.91,0,0,0,0,0,0
31383,0,0,0,0,0,0,22.79,0,0,0,0,0,0
31458,0,0,0,0,0,0,22.98,0,0,0,0,0,0
31578,0,0,0,0,0,0,22.91,0,0,0,0,0,0
31668,0,0,0,0,0,0,22.79,0,0,0,0,0,0
31788,0,0,0,0,0,0,22.85,0,0,0,0,0,0
31863,0,0,0,0,0,0,22.91,0,0,0,0,0,0
31983,0,0,0,0,0,0,22.98,0,0,0,0,0,0
32074,0,0,0,0,0,0,22.91,0,0,0,0,0,0
32193,0,0,0,0,0,0,22.91,0,0,0,0,0,0
32283,0,0,0,0,0,0,22.85,0,0,0,0,0,0
32388,0,0,0,0,0,0,22.85,0,0,0,0,0,0
32479,0,0,0,0,0,0,23.10,0,0,0,0,0,0
32598,0,0,0,0,0,0,22.98,0,0,0,0,0,0
32673,0,0,0,0,0,0,22.79,0,0,0,0,0,0
32794,0,0,0,0,0,0,22.98,0,0,0,0,0,0
32868,0,0,0,0,0,0,22.60,0,0,0,0,0,0
33004,0,0,0,0,0,0,22.79,0,0,0,0,0,0
33078,0,0,0,0,0,0,22.79,0,0,0,0,0,0
33199,0,0,0,0,0,0,22.66,0,0,0,0,0,0
33288,0,0,0,0,0,0,22.79,0,0,0,0,0,0
33409,0,0,0,0,0,0,22.72,0,0,0,0,0,0
33484,0,0,0,0,0,0,22.79,0,0,0,0,0,0
33619,0,0,0,0,0,0,22.79,0,0,0,0,0,0
33694,0,0,0,0,0,0,22.91,0,0,0,0,0,0
33799,0,0,0,0,0,0,22.85,0,0,0,0,0,0
33904,0,0,0,0,0,0,22.98,0,0,0,0,0,0
34024,0,0,0,0,0,0,22.79,0,0,0,0,0,0
34099,0,0,0,0,0,0,22.98,0,0,0,0,0,0
34204,0,0,0,0,0,0,22.98,0,0,0,0,0,0
34309,0,0,0,0,0,0,22.79,0,0,0,0,0,0
34414,0,0,0,0,0,0,22.72,0,0,0,0,0,0
34520,0,0,0,0,0,0,22.85,0,0,0,0,0,0
34609,0,0,0,0,0,0,22.79,0,0,0,0,0,0
34714,0,0,0,0,0,0,22.66,0,0,0,0,0,0
34819,0,0,0,0,0,0,22.91,0,0,0,0,0,0
34924,0,0,0,0,0,0,22.98,0,0,0,0,0,0
35029,0,0,0,0,0,0,22.85,0,0,0,0,0,0
35119,0,0,0,0,0,0,22.79,0,0,0,0,0,0
35224,0,0,0,0,0,0,22.66,0,0,0,0,0,0
35284,0,0,0,0,0,0,22.60,0,0,0,0,0,0
35494,0,0,0,0,0,0,22.79,0,0,0,0,0,0
35644,0,0,0,0,0,0,22.85,0,0,0,0,0,0
35689,0,0,0,0,0,0,22.91,0,0,0,0,0,0
35839,0,0,0,0,0,0,22.91,0,0,0,0,0,0
35899,0,0,0,0,0,0,22.79,0,0,0,0,0,0
