Timestamp,VX,VY,VZ,ADX,ADY,ADZ,TEMP,DX,DY,DZ,HZX,HZY,HZZ
14764,0,0,0,0,0,0,21.59,0,0,0,0,0,0
14884,0,0,0,0,0,0,21.40,0,0,0,0,0,0
14959,0,0,0,0,0,0,21.59,0,0,0,0,0,0
15079,0,0,0,0,0,0,21.59,0,0,0,0,0,0
15154,0,0,0,0,0,0,21.40,0,0,0,0,0,0
15274,0,0,0,0,0,0,21.27,0,0,0,3,0,0
15364,0,0,0,0,0,0,21.40,0,0,0,3,0,0
15484,0,0,0,0,0,0,21.40,0,0,0,3,0,0
15559,0,0,0,0,0,0,21.59,0,0,0,3,0,0
15680,0,0,0,0,0,0,21.46,0,0,0,3,0,0
15769,0,0,0,0,0,0,21.46,0,0,0,3,0,0
15889,0,0,0,0,0,0,21.59,0,0,0,3,0,0
15979,0,0,0,0,0,0,21.34,0,0,0,3,0,0
16084,0,0,0,0,0,0,21.59,0,0,0,3,0,0
16174,0,0,0,0,0,0,21.59,0,0,0,3,0,0
16294,0,0,0,0,0,0,21.78,0,0,0,0,0,0
16384,0,0,0,0,0,0,21.65,0,0,0,0,0,0
16489,0,0,0,0,0,0,21.59,0,0,0,0,0,0
16564,0,0,0,0,0,0,21.40,0,0,0,0,0,0
16684,0,0,0,0,0,0,21.59,0,0,0,0,0,0
16774,0,0,0,0,0,0,21.46,0,0,0,0,0,0
16894,0,0,0,0,0,0,21.40,0,0,0,0,0,0
16969,0,0,0,0,0,0,21.65,0,0,0,0,0,0
17105,0,0,0,0,0,0,21.46,0,0,0,0,0,0
17179,0,0,0,0,0,0,21.59,0,0,0,0,0,0
17300,0,0,0,0,0,0,21.40,0,0,0,0,0,0
17390,0,0,0,0,0,0,21.59,0,0,0,0,0,0
17510,0,0,0,0,0,0,21.71,0,0,0,0,0,0
17585,0,0,0,0,0,0,21.65,0,0,0,0,0,0
17720,0,0,0,0,0,0,21.65,0,0,0,0,0,0
17795,0,0,0,0,0,0,21.40,0,0,0,0,0,0
17900,0,0,0,0,0,0,21.40,0,0,0,0,0,0
18005,0,0,0,0,0,0,21.59,0,0,0,0,0,0
18095,0,0,0,0,0,0,21.46,0,0,0,0,0,0
18200,0,0,0,0,0,0,21.71,0,0,0,0,0,0
18305,0,0,0,0,0,0,21.65,0,0,0,0,0,0
18410,0,0,0,0,0,0,21.34,0,0,0,0,0,0
18515,0,0,0,0,0,0,21.71,0,0,0,0,0,0
18620,0,0,0,0,0,0,21.46,0,0,0,0,0,0
18710,0,0,0,0,0,0,21.59,0,0,0,0,0,0
18815,0,0,0,0,0,0,21.40,0,0,0,0,0,0
18920,0,0,0,0,0,0,21.59,0,0,0,0,0,0
18980,0,0,0,0,0,0,21.40,0,0,0,0,0,0
19130,0,0,0,0,0,0,21.40,0,0,0,0,0,0
19191,0,0,0,0,0,0,21.65,0,0,0,0,0,0
19325,0,0,0,0,0,0,21.27,0,0,0,0,0,0
19385,0,0,0,0,0,0,21.46,0,0,0,0,0,0
19535,0,0,0,0,0,0,21.46,0,0,0,0,0,0
19595,0,0,0,0,0,0,21.40,0,0,0,0,0,0
19745,0,0,0,0,0,0,21.40,0,0,0,0,0,0
19790,0,0,0,0,0,0,21.46,0,0,0,0,0,0
19940,0,0,0,0,0,0,21.34,0,0,0,0,0,0
20000,0,0,0,0,0,0,21.59,0,0,0,0,0,0
20150,0,0,0,0,0,0,21.46,0,0,0,0,0,0
20195,0,0,0,0,0,0,21.40,0,0,0,0,0,0
20317,0,0,0,0,0,0,21.46,0,0,1,0,0,0
20390,0,0,0,0,0,0,21.65,2,1,4,0,0,0
20555,0,0,0,0,0,0,21.59,1,1,2,0,0,0
20600,0,0,0,0,0,0,21.40,0,0,0,0,0,0
20720,0,0,0,0,0,0,21.59,0,0,0,0,0,0
20796,0,0,0,0,0,0,21.59,1,0,1,0,0,0
20915,0,0,0,0,0,0,21.71,2,2,1,0,0,0
21005,0,0,0,0,0,0,21.40,2,2,1,0,0,0
21125,1,0,0,0,0,0,21.65,3,0,4,0,0,0
21200,1,0,0,0,0,0,21.65,5,5,2,0,0,0
21320,2,1,1,0,0,0,21.34,4,5,2,17,13,23
21410,1,1,2,0,0,0,21.65,4,7,5,17,13,23
